Название вакансии,URL,Название компании,Описание
PHP-программист,https://perm.hh.ru/vacancy/34374197?query=php,ООО Профитпоинт,"Разработка сервиса хранящего данные и контролирующего бизнесс-процессы промышленной автоматики (станки и их статусы и состояния, склад и его учет... Хорошее знание PHP 7. Хорошее знание SQL баз данных (Postgresql, MySQL и тд). Опыт работы с популярными фреймворками под PHP..."
"Web-разработчик (PHP, JS)",https://perm.hh.ru/vacancy/32455962?query=php, BeeJee," Опыт коммерческой full-stack разработки от года. Понимание культуры кода, стандартов разработки. Английский на уровне свободного чтения документации. "
"Web-разработчик (PHP, JS)",https://perm.hh.ru/vacancy/32536104?query=php, BeeJee," Опыт коммерческой full-stack разработки от года. Понимание культуры кода, стандартов разработки. Английский на уровне свободного чтения документации. "
Веб-разработчик (PHP + Yii2),https://perm.hh.ru/vacancy/31686009?query=php, Shop&Show,"синхронизации компонентов системы через очереди. Завершённые проекты на PHP и MySQL. Опыт работы с фреймворками под PHP (Yii, Yii 2 - в приоритете). Владение средствами коллективной..."
"Веб-разработчик (PHP, Symfony)",https://perm.hh.ru/vacancy/34305011?query=php,ООО РУВЕНТС,"Работая с Symfony, можно многому научиться и с точки зрения организации кода, и с точки зрения воркфлоу. Мы выносим код... У тебя уверенные знания PHP 7.1, ООП, паттернов, антипаттернов, принципов SOLID. У тебя есть опыт работы с современными фреймворками..."
PHP программист,https://perm.hh.ru/vacancy/33948620?query=php,ООО РАДУГА-ИНТЕРНЕТ,"Сопровождение и развитие oss/bss и crm-системы, web-сайта . Навыки работы в Linux. Знание mysql. Желательно знание Python."
PHP Developer,https://perm.hh.ru/vacancy/31567138?query=php, Алгоритмика,"Системой LMS (Learning Management System) для управления образовательным процессом и методическими материалами. API для обучающей платформы (React SPA, с которым... Отличное знание PHP 7.x. MySQL - опыт оптимизации запросов. Опыт работы с популярными PHP фреймворками(Yii2, Symfony, Zend). "
PHP-программист/Front Vue.js,https://perm.hh.ru/vacancy/34067583?query=php,ООО Флекскор,"Написание новых программных модулей. Поддержка текущего функционала. Для Front: Полный перенос имеющегося проекта на vue.js. Html5 + Сss3. Отличные знания Javascript, PHP5.6+, MySQL, ООП. Опыт работы с git. "
PHP-developer,https://perm.hh.ru/vacancy/34306528?query=php, Foach,"Разработка БД. Поддержка и развития API. Разработка и развитие интерфейсов редактирования данных в БД, с поддержкой версионности, многоязычности и разделения... Для базы данных можно использовать postgres, система написана на связке postgres + php (Laravel) + vue.js. Исходя из этого можно..."
PHP-программист,https://perm.hh.ru/vacancy/34092619?query=php, Вятка Банк,Разрабатывать и сопровождать программы для Банка. С высшим образованием (техническое). С опытом программирования PHP от 1 года. С пониманием ООП. Будут преимуществом знание 1С Битрикс...
Программист PHP,https://perm.hh.ru/vacancy/30450350?query=php, ПартКом,"Разработка и поддержка высоко-нагруженных информационных систем компании. PHP 7.x , MySQL, ООП, GIT, PHPUnit, Composer, HTML, CSS, JavaScript, PSR, NoSQL, XDebug, SOLID. Понимание основных принципов разработки и..."
PHP-разработчик,https://perm.hh.ru/vacancy/34207899?query=php,ООО Восток Инновации,"Ваша ОС — Linux. От вас: Знание PHP7, понимание ООП и MVC. Опыт работы с фреймворком Yii2."
PHP-разработчик,https://perm.hh.ru/vacancy/34138197?query=php,ООО Авентус ИТ,"Разработка веб-систем (кредитных систем) с применением релевантных технологий, платформ и фреймворков. Написание эффективного, поддерживаемого кода в соответствии со стандартами... Опыт в области PHP программирования - от 3х лет. Навык работы с PHP framework: Symfony. Опыт работы с MySQL. "
"Веб-разработчик (PHP, Symfony)",https://perm.hh.ru/vacancy/34305049?query=php,ООО РУВЕНТС,"Работая с Symfony, можно многому научиться и с точки зрения организации кода, и с точки зрения воркфлоу. Мы выносим код... У тебя уверенные знания PHP 7.1, ООП, паттернов, антипаттернов, принципов SOLID. У тебя есть опыт работы с современными фреймворками..."
"Ведущий веб-разработчик (PHP, Yii)",https://perm.hh.ru/vacancy/34304954?query=php,ООО РУВЕНТС,"Развитие и поддержка высоконагруженных систем. Управление командой разработчиков, техническое планирование. Разработка новых веб-приложений. Участие в проектировании архитектуры информационных систем. Хорошее знание PHP 7.1‚ ООП (опыт работы с другими языками также приветствуется). Уверенные знания Yii Framework. Опыт проектирования архитектуры..."
PHP-программист,https://perm.hh.ru/vacancy/34320584?query=php, Intaro," Понимание и применение принципов ООП. Опыт программирования на PHP от 2-х лет. Знание теории баз данных, SQL. "
PHP-разработчик,https://perm.hh.ru/vacancy/33880085?query=php,ООО Стрим,"Десятки реализованных проектов федерального уровня с применением BigData, Programmatic в области рекламы. Платформу по реализации VaS услуг, мобильных сервисов и... Опыт разработки на PHP от 3-х лет. Опыт работы с фреймворками Yii2, Symfony4. SQL на уровне сложных..."
Веб-разработчик / Web developer,https://perm.hh.ru/vacancy/34073415?query=php, FUSION CORE,"Разрабатывать игровой сайт и игровой портал. Разрабатывать различные игровые сервисы: сервисы уведомлений, транзакций и другие. Разрабатывать функционал взаимодействия с социальными... Для работы понадобится: PHP. Желателен опыт работы с одним из популярных фреймворков (Yii / Phalcon). HTML, CSS, JS (кроссплатформенная верстка). "
PHP Developer,https://perm.hh.ru/vacancy/33058830?query=php,ООО Риал Тайм Технологии,"Разработка высоконагруженного RESTful API. Знание и опыт применения в работе PHP 7+. Опыт работы с любым из современных фреймворков Symfony, Yii, Laravel. "
PHP - разработчик,https://perm.hh.ru/vacancy/33885564?query=php, Группа компаний «ИНФОРСЕР»,"Разработка и сопровождение web приложений для корпоративных решений (PHP + MySQL, SOAP / REST сервисы, веб-сайты, механизмы экспорта/импорта).  Профессиональное владение PHP 5.6-7.2 (ООП), MySQL. Опыт работы с Symfony или аналогичным mvc фреймворком. Знание XML, XSD..."
PHP-разработчик,https://perm.hh.ru/vacancy/33589598?query=php, CreaGames,"Участие в разработке серверной и клиентской части игрового портала. PHP (ООП). MySQL (запросы любой сложности, оптимизация запросов). JavaScript (jQuery, AJAX... Опыт разработки высоко-нагруженных систем. Опыт работы с Yii2, Memcached, AMQP, системами контроля версий (GIT, SVN), консолью Linux."
Backend разработчик (PHP),https://perm.hh.ru/vacancy/34139924?query=php,ООО Сибирско-уральская медиакомпания,"Разработка системы управления контентом. Разработка и поддержка Backend’а сервисов компании. Поддержка и запуск новых проектов URA RU. Технический английский на уровне чтения документации. Опыт разработки на PHP, понимание MVC фреймворков (идеально - опыт работы с Symfony). "
Программист PHP,https://perm.hh.ru/vacancy/29773161?query=php, ФОГСТРИМ,"Сопровождать/писать с нуля различные веб-приложения на Laravel или Bitrix. MVC и ООП. Концепцию архитектуры Laravel или Bitrix. JavaScript: jQuery, Ajax. В идеале еще и VueJS/ReactJS знаете. "
PHP-разработчик,https://perm.hh.ru/vacancy/34374658?query=php, Ю-ОН,"Проект написан на чистом РНР, без использования систем управления сайтов и фреймворков. Обязанности. Разработка новых функций и исправление багов.  Знание РНР 5/7 в чистом виде (без CMF/CMS/FrameWorks) / JS (jQuery) / MySQL. Умение писать код в блокноте (в..."
Web-разработчик (front-end),https://perm.hh.ru/vacancy/33427750?query=php, Гарант,"Компании ""Гарант. Электронный экспресс"" (предоставление услуг юридически значимого электронного документооборота: электронная подпись, электронные торги, электронная отчетность) требуется web-программист. -  Отличное знание HTML, CSS, Javascript, jQuery3. - Опыт использования VueJS. - Базовые знания PHP7 (ООП, MVC, паттерны). - Знание смежных технологий..."
Ведущий PHP/GO-разработчик,https://perm.hh.ru/vacancy/34142482?query=php, КВАДО.РУ,"Написание микросервисов для новых модулей и перенос отдельных модулей в микросервисную архитектуру. Разработка новых и совершенствование имеющихся модулей SaaS-сервиса. Уверенные знания PHP, ООП. Знание языка GO (желательно). Знание и опыт работы с фреймворком Yii желателен. Уверенное знание MySql. "
Senior PHP-разработчик,https://perm.hh.ru/vacancy/34068376?query=php,ООО 4xxi," Умение настраивать рабочую среду (веб-сервер, PHP, Redis, RabbitMQ, базы). Знание английского языка (хотя бы на уровне чтения технической документации). "
PHP developer (Laravel),https://perm.hh.ru/vacancy/34031978?query=php, Life Division Kft,"Monthly public transport ticket. Strong skills and deep knowledge of PHP7 (2+ years experience). Strong experience with Laravel 5.5+, ORM. "
Web-программист (PHP),https://perm.hh.ru/vacancy/32952514?query=php, Пиком,"Функционал: интернет-магазин, инфопортал, мобильное приложение. Стек проекта: nginx, php-fpm, php 5.6, mysql 5.7 (percona), bitrix, memcache... Опыт веб-разработки от 2 лет. Опыт работы с 1С-Битрикс. Опыт работы с фреймворками (Symfony). Опыт работы с..."
Ведущий PHP- разработчик,https://perm.hh.ru/vacancy/34017967?query=php, Nethouse,"Для еще более активного развития мы хотим усилить команду опытным и талантливым разработчиком, которому сможем доверить участие в принятии ключевых... Не менее 3 лет опыта работы с PHP, MySQL. 2. Опыт работы с популярными PHP-фреймворками (Laravel/CodeIgniter/Symfony/Yii). "
"Веб-разработчик (PHP, JS)",https://perm.hh.ru/vacancy/32029815?query=php,ООО Кадвайс-Н,"Разработка и поддержка веб-проектов компании в области САПР, eCommerce и не только. Умение писать понятный, надежный код. PHP 5-7, PSR, опыт работы с PHP-фреймворками. JavaScript, понимание основ построения RIA и..."
PHP-разработчик,https://perm.hh.ru/vacancy/31443399?query=php,ООО Рабочие решения,Разрабатывать и поддерживать высоконагруженные проекты. Разрабатывать новые сервисы. Рефакторить текущий код. Желателен опыт разработки высоконагруженных проектов. Уверенным знанием PHP (на проектах используется PHP7). Опытом работы с системой управления версиями кода...
PHP-разработчик,https://perm.hh.ru/vacancy/32066271?query=php,ООО АйТи Революшн,"Поддержка и доработка существующих проектов компании. Анализ кода, поиск и исправление ошибок в существующем функционале. Проектирование, разработка и внедрение новых... Уверенное знание PHP. Понимание и умение применять принципы ООП/шаблоны проектирования. Хорошее знание реляционных баз данных. ORM - Doctrine, Eloquent. "
PHP-программист,https://perm.hh.ru/vacancy/33874841?query=php,ООО Прайм групп,"1. Работать над проектами компании. 2. Решать проблемы клиентов, работая в тесном взаимодействии с командой. Требуемый опыт работы: желателен."
