Название вакансии,URL,Название компании,Описание 
Backend developer (Go/PHP),https://perm.hh.ru/vacancy/34315491?query=php, 2ГИС,"Разрабатывать и поддерживать сервисы с различными профилями нагрузки в нескольких дата-центрах. Оптимизировать то, что работает недостаточно быстро.  Уверенное владение Go/PHP, использовать придётся оба. Опыт работы с MySQL или PostgreSQL и понимание, как работают SQL-запросы - структура..."
Младший веб-программист (junior web developer),https://perm.hh.ru/vacancy/34339870?query=php,ИП Компания Эхо," Требования: Знание php, html, javascript, mysql. Приветствуется знание cms Bitrix, Shop-script. Основы работы в linux. Умение искать информацию, самообучение."
Программист (Fullstack),https://perm.hh.ru/vacancy/33886415?query=php, Лабмедиа,"Вам предстоит участвовать в проектах по разработке учебных и корпоративных порталов на базе ПО WebTutor. Хорошие знания PHP‚ SQL‚ JavaScript/HTML/CSS, ООП. Желание программировать и развиваться в этой области. Личная ответственность, желание работать, умение..."
Web-разработчик (PHP),https://perm.hh.ru/vacancy/34172635?query=php, Кадровик,"Поддерживать действующие продукты, вносить изменения. - Реализовывать новые проекты с нуля. Уверенные знания программирования на PHP. - Уверенное знание HTML, CSS, JS (JQuery). - Опыт Front-end разработки и интеграции с Back-end. - "
Frontend-разработчик (Senior),https://perm.hh.ru/vacancy/32170641?query=php, Zoon.ru,"Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов. Разрабатывать компоненты на Vue. Писать современный JavaScript код.  ...с двумя MV*-фреймворками (React.js, Vue.js, AngularJS, Ember.js, Backbone.js, Knockout.js и т.д.). Базовые знания PHP, четкое понимание принципов ООП."
BackEnd разработчик,https://perm.hh.ru/vacancy/34075064?query=php,ТОО SMTUnion,"Участие в разработке и развитии программных комплексов. - Поддержка разработанных программных продуктов. - Разработка новых модулей для расширения действующего функционала. Что нужно знать и уметь: - Опыт работы с PHP/Go. - Опыт написания многопоточных приложений. - Хорошее понимание ООП, клиент/серверных технологий. - "
PHP (Bitrix) разработчик,https://perm.hh.ru/vacancy/34094554?query=php, iBrush,"Разрабатывать проекты с нуля (интернет-магазины, корпоративные порталы, сайты-визитки, лендинги... да всё будет в работе). Реализовывать нестандартные идеи и... Знать PHP в целом, понимать различия между 5 и 7 версиями. Уметь объяснить алгоритм решения задачи даже куску кремния (проще..."
Младший программист PHP (Junior),https://perm.hh.ru/vacancy/33943912?query=php, Ньюконтакт,"Участвовать в разработке web-приложений в качестве frontend и backend программиста, с использованием PHP, JavaScript, jQuery, SQL. Сопровождать и дорабатывать... Базовые навыки программирования. Базовые знания технологий баз данных. Желание развиваться в области web-программирования."
"Программист Битрикс (PHP, поддержка проектов)",https://perm.hh.ru/vacancy/34233759?query=php,ООО РУТЕГО,"Дорабатывать существующие WEB-проекты. Решать небольшие задачи, поступающие от клиентов. Администрировать проекты битрикс24. Уметь планировать свой рабочий день, чтобы выполнять задачи эффективно. Быстро осваивать материал по IT направлению. Не допускать просрочки в назначенных..."
PHP программист,https://perm.hh.ru/vacancy/33904039?query=php,ООО HR-PROFI,"Активная разработка новых модулей. Рефакторинг текущего кода. Работа в команде сильных разработчиков. Взаимодействие с менеджером проектов и с QA специалистами. Опыт объектно ориентированного программирования на PHP. Опыт работы с популярными фреймворками (yii, symfony). Желательно знание JavaScript, JQuery. Умение читать чужой..."
Веб-программист,https://perm.hh.ru/vacancy/33844429?query=php,Гос. корп. Военно-космическая академия имени А.Ф. Можайского,"Разработка веб-проектов разного уровня сложности, поддержка существующих проектов. Разработка функциональности приложения на серверной части (PHP). Разработка Front-end части... Хорошее знание php, mysql, JavaScript, jquery. Базовые знания HTML, CSS. Понимание MVC. Умение слаженно работать в команде. Умение разбираться в..."
Ведущий разработчик PHP/Bitrix,https://perm.hh.ru/vacancy/34353805?query=php, ADV/web-engineering,"Непосредственное участие в разработке проекта. - Оценка сроков выполнения задач. - Code review. - Построение архитектуры приложения, выбор оптимального решения. Писать качественный, понятный коллегам код. - Уверенные знания PHP, ООП и MySQL. - Следование стандартам PSR. - Знание API Bitrix (ORM, D7). - "
"Junior fullstack программист (JavaScript, PostgreSQL)",https://perm.hh.ru/vacancy/34252428?query=php, ПроНетКом," Задачи - достаточно сложные, требуется ""полет мысли"", ответственность и умение оптимизировать код. Наши принципы: Желание работать как с client-, так и..."
Senior Backend Web разработчик,https://perm.hh.ru/vacancy/34100268?query=php,ООО КристалД,Участие в разработке web-приложения на Yii2 framework + PostgreSQL. Модернизация сущетвующих и написание новых моделей для взаимодействия с... Широкий опыт работы с PHP 7+ (от 3х лет). Уверенные знания и опыт работы с Yii2 Framework...
Программист PHP (Bitrix),https://perm.hh.ru/vacancy/33862388?query=php, Римэкс,"Модернизация и поддержка корпоративных веб-сайтов и CRM. - Разработка компонентов и модулей, доработка Битрикс. - Интеграции Битрикс со сторонними системами с... Знание и опыт разработки на Битрикс от 1 года. - Знание PHP, MySQL, JS, jQuery, HTML, CSS. - Сертификаты разработчика ""1С..."
Web-разработчик / Web-программист,https://perm.hh.ru/vacancy/34345572?query=php,ООО Вижион Классик,"Проектировать и разрабатывать сайты на CMS, самописные сайты, интернет-магазины и лендинги. Дорабатывать и технически поддерживать существующие сайты разной сложности.  Отличное знание HTML, CSS, jQuery. Уверенные знание PHP и Javascript. Понимание принципов и опыт работы с REST API. "
Web-разработчик,https://perm.hh.ru/vacancy/34220170?query=php,ООО Ай пи джи эстейт,"Разработка и техподдержка сайтов компании. Доработки и настройка CRM системы под нужды компании. Интеграции с собственными сайтами и сторонними системами.  Отличное владение и опыт работы с: PHP, HTML/CSS, java-script, Front-end/Back-end, API, XML-фиды YML-фиды..."
"Разработчик-репетитор по PHP, продвинутый уровень",https://perm.hh.ru/vacancy/34198802?query=php, Интерактивные обучающие технологии,"Проверка практических заданий учеников, ревью кода, разбор ошибок. Консультирование по скайпу. Приёмка финальных проектов. Узнать подробнее о наставничестве и оставить... 1) Опыт от двух лет в коммерческой PHP-разработке. 2) Знание современных возможностей PHP 7.3. 3) Опыт объектно-ориентированного..."
Программист PHP / PHP architect Developer,https://perm.hh.ru/vacancy/32941753?query=php, X-Cart (ООО Креативные Технологии),"Основной продукт, который мы выпускаем, X-Cart — это платформа на базе PHP/MySQL для создания интернет магазинов. ⠀⠀- Переживаний в ожидании... работают больше десяти лет). ⠀⠀- PHP. ⠀⠀- MySQL. ⠀⠀- JS, HTML, CSS. ⠀⠀- git на базовом уровне. ⠀⠀- английский — уверенное чтение технического текста. ⠀⠀- *"
Web-программист,https://perm.hh.ru/vacancy/34356282?query=php, Зимние Игры,"Разрабатывать и поддерживать проект на базе Bitrix CMS. Работать с кастомизацией шаблонов, компонентов, модулей. Интегрировать проект с внешними системами.  Профессиональные навыки: Наличие опыта Full-stack разработки под Битрикс. Желательно: практические навыки верстки / JavaScript (Sass, jQuery). Владение современными подходами к..."
PHP-разработчик (Bitrix),https://perm.hh.ru/vacancy/33727317?query=php, Аврора,"Синхронизация с 1С (XML, SOAP). Выгрузка на внешние площадки (avito, vk, юла и т.д.). Синхронизация с Bitrix24.  Знание 1C-Bitrix от 2 лет. Знание PHP7, ООП от 3 лет. Опыт работы с MySQL, JS, JQuery..."
Web-разработчик,https://perm.hh.ru/vacancy/34057493?query=php,ТОО АвтоАдвокат,"Поддержка и рефакторинг существующих проектов. Добавление нового функционала. Администрирование базы данных. Высшее образование. Знание PHP, MySQL и понимание принципов ООП. Желателен опыт работы с фреймворком Yii2 и подобных MVC. "
Программист PHP,https://perm.hh.ru/vacancy/34212223?query=php,ООО Силикон Еуроп,"Разработка продуктов на PHP. Интеграция с системами электронного документооборота, CRM системами и т. д. Интеграция с продуктами Veeva.  Умение писать хорошо читаемый структурный код. Знание PHP. Хорошее знание SQL. Умение работать с системами контроля версий (Git). "
Web-программист,https://perm.hh.ru/vacancy/33718785?query=php,ООО Международный институт дополнительного образования,"...загрузки, структура и т.д.). Верстка сайтов по макетам. Участие в проектах по автоматизации бизнес-процессов компании (написание скриптов php). Уверенные знания PHP. Опыт написания сложных SQL-запросов. Хорошие знания HTML5, CSS3, JS. Умение работать с чужим кодом. "
Web-разработчик,https://perm.hh.ru/vacancy/34225233?query=php, We Make Fab,"Разработка веб-сайтов (верстка + интеграция с CMS). Адаптивная и кроссбраузерная верстка сайтов. Разработка и оптимизация работы модулей, компонентов.  Обязательно знание технологий/языков PHP, JavaScript (jQuery), HTML5, CSS3. Знание CMS Wordpress ИЛИ Joomla - обязательно. Понимание архитектуры CMS. "
Front-end разработчик на Vuejs 2.x,https://perm.hh.ru/vacancy/34154252?query=php,ООО iConnectionPro,"Перевод существующей админ панели на Vue.js c использования quasar framework. Разработка новых интерфейсов CRM, EPM-системы. Опыт работы с RESTful APIs и понимание HTTP протокола. Знание PHP, Mysql. Знание средств контроля версий (git). Аналитическое мышление. "
Программист PHP,https://perm.hh.ru/vacancy/33658301?query=php," Европейская Юридическая Служба, Компания","Разработка и развитие внутренних информационных систем компании. ...опыт работы с фреймворками). Требования: Знания и опыт работы с PHP 5/7, MySQL, html/css/jquery, опыт работы с..."
Senior PHP developer (Laravel ),https://perm.hh.ru/vacancy/33909348?query=php, BARONA,"Выполнять комплексное обслуживание, улучшать и разрабатывать по мере необходимости. ...веб-приложений с использованием PHP и баз данных PostgreSQL. 3+ года опыта в веб-разработке. PHP, Laravel ,PostgreSQL. "
"Web full-stack разработчик (PHP, JS).",https://perm.hh.ru/vacancy/33534044?query=php, ITSOFT,"Тюнинг"": Базовая комплектация"" опыта: PHP, MySQL, Laravel или Yii, JS+Ajax, как минимум опыт верстки в прошлом (у нас есть в команде..."
Ведущий веб-разработчик Битрикс,https://perm.hh.ru/vacancy/33624255?query=php, Первый Бит,"Проектирование архитектуры интернет-проектов компании: разработка новых и оптимизация текущих программных решений в интернет-проектах. Выбор технологий для реализации задач.  Опыт работы ведущим веб-разработчиком, тимлидом от 2-х лет. Уверенное владение PHP и MySQL. Опыт работы с Битриксом. "
Backend-разработчик,https://perm.hh.ru/vacancy/33532358?query=php, СофтКорп,"Разработка новых сервисов компании. Оптимизация и поддержка текущих продуктов. Наш стек: PHP7, MySQL (Percona), Redis, MongoDB, RabbitMQ, YouTrack. Имеете законченное высшее образование. Имеете опыт разработки на PHP. Умеете использовать Git. Знаете ООП, умеете применять на практике паттерны проектирования. "
Web-программист,https://perm.hh.ru/vacancy/32404386?query=php,ООО Свик,"Разрабатывать веб-приложения под очень большую нагрузку. Активно участвовать во всём процессе разработки. Предлагать и внедрять высокотехнологичные, инновационные решения. Уверенное знание php, его сильные и слабые стороны (опыт работы с фреймворками). Опыт работы с реляционными базами данных MySQL (InnoDB..."
Php full stack developer,https://perm.hh.ru/vacancy/31139946?query=php,ООО ИА Тендерлэнд,"Tenderland.ru – сервис для поиска и анализа государственного и коммерческого заказа. Работа над текущими внутренними проектами компании. Создание web приложений, реализующих... Стек технологий: PHP7. MySQL. Jquery. HTML, CSS. Git. Навыки: PHP на уверенном). Знание SQL (умение работать с MySQL). "
Веб-разработчик/Веб-программист,https://perm.hh.ru/vacancy/34372566?query=php, DIGITAL WHALES VENTURES LTD,"Участие в создании новых, а также поддержке и расширении функционала имеющихся сайтов компании. Работа с различными CMS (контент, шаблоны, модули).  Уверенное знание HTML, CSS, JavaScript и принципов кроссбраузерной и адаптивной верстки. Базовые знания PHP, SQL. Работа с Wordpress. "
"Ionic Framework. Frontend, JS. Vue.js",https://perm.hh.ru/vacancy/34100126?query=php,ООО Флекскор,"Разработка крупного проекта на Vue.js. Верстка мобильных приложений (Ionic View 3). Знания Adobe Illustrator, Photoshop(на уровне нарезать), Figma. Знания PHP5-7, MySQL, Front-End Frameworks как преимущество. "
Laravel-разработчик,https://perm.hh.ru/vacancy/33993410?query=php, WM Studio,"Разработка и поддержка проектов на laravel. Уверенное знание PHP, LARAVEL, MySQL. Опыт работы с фреймворком laravel. Наличие завершенных проектов."
PHP middle/senior backend разработчик,https://perm.hh.ru/vacancy/33883805?query=php,ООО Вантач Трэвел,"Вёрстка: БЭМ, VueJS, PostCSS, Sass. Фронтенд: VueJS, TypeScript, Protobuf, SPA. Бэкенд: PHP (SOLID), Symfony 3 и выше, Protobuf, PHPUnit, MySQL... Уверенные знания PHP и опыт применения принципов SOLID. Опыт написания автоматических тестов (модульных, интеграционных, функциональных). Желание развивать профессиональные качества. "
PHP-разработчик,https://perm.hh.ru/vacancy/34277851?query=php, АО «Авилон АГ»,Участие в разработке крупного интернет-магазина по продаже автомобилей. Решение задач совместно с командой и подрядчиками. Участие в Код-ревью... Опыт работы с 1С БИТРИКС от 2 лет. Опыт работы в должности программиста PHP в крупном интернет-магазине/веб...
PHP-разработчик (Jun or Mid),https://perm.hh.ru/vacancy/34301470?query=php,ООО И4Б,Разработка уникальных интеграционных классов на нативном PHP. Разбор XML и JSON форматов и переформатирование из одного в другой.  Знание PHP 7 и SQL. ООП. Аналитический и пытливый склад ума. Самоорганизация. Будет плюсом: Знание фреймворка medoo.in. Умения читать php.net...
Программист PHP,https://perm.hh.ru/vacancy/34091211?query=php, АНКОР,"Поддержка и разработка внутреннего сайта группы компаний АНКОР. Автоматизация бизнес-процессов на платформе сайта. Взаимодействие со внутренними заказчиками.  Знание интернет-технологий, основы вёрстки и дизайна. Back-end: PHP, MySQL. Front-end: JS/jquery, css, плюсом будет bootstrap, materializecss..."
Бэкенд-разработчик,https://perm.hh.ru/vacancy/34235891?query=php,ООО МЕДСИМПЛ,Участие в командной разработке. Участие в проектировании архитектуры приложения. Интеграция со сторонними сервисами. Тестирование кода и проверка его на соответствие... Опыт работы от 5 лет. Опыт проектирования архитектуры приложения. Уверенные знания PHP 7+ и Symfony4. Опыт работы с...
Web-разработчик,https://perm.hh.ru/vacancy/33921080?query=php,АО БИПЭК АВТО Казахстан,"Разработка web-сайтов и сервисов. Сопровождение, администрирование разработанных сайтов, web-сервисов. Конфигурирование баз данных. Верстка, наполнение контентом. HTML, CSS, PHP, JS, MySQL."
Web (веб) программист / backend developer,https://perm.hh.ru/vacancy/34380596?query=php,ООО Линия Жизни,"Разработка прикладных WEB-приложений и CMS. Знание PHP, MySQL, XML, XSLT, JavaScript. Знание и опыт работы с jQuery. Опыт работы со связкой PHP, MySQL , Apache. "
Front-End разработчик,https://perm.hh.ru/vacancy/34344154?query=php,АО Группа компаний Орион,"Улучшать существующий код. Rich Web App. Взаимодействие с Backend API/PHP. HTML, CSS, SASS, Bootstrap. JS, jQuery, Vue, React. Tars, Webpack. Адаптивная верстка. Умение работать в команде. Приветствуется: понимание PHP, понимание..."
PHP разработчик / Team lead,https://perm.hh.ru/vacancy/34369555?query=php,ООО Хайд,"Создание новых сервисов (PHP 7 + Symfony + Docker). Поддержка существующего рабочего кода (legasy PHP 5.6). Рефакторинг существущего кода.  Опыт программирования на PHP от 3 лет. Опыт работы с React от 2х лет, опыт работы с jQuery, знания..."
PHP разработчик / Team lead,https://perm.hh.ru/vacancy/34369556?query=php,ООО Хайд,"Создание новых сервисов (PHP 7 + Symfony + Docker). Поддержка существующего рабочего кода (legasy PHP 5.6). Рефакторинг существущего кода.  Опыт программирования на PHP от 3 лет. Опыт работы с React от 2х лет, опыт работы с jQuery, знания..."
PHP разработчик / Team lead,https://perm.hh.ru/vacancy/34369557?query=php,ООО Хайд,"Создание новых сервисов (PHP 7 + Symfony + Docker). Поддержка существующего рабочего кода (legasy PHP 5.6). Рефакторинг существущего кода.  Опыт программирования на PHP от 3 лет. Опыт работы с React от 2х лет, опыт работы с jQuery, знания..."
PHP разработчик / Team lead,https://perm.hh.ru/vacancy/34369558?query=php,ООО Хайд,"Создание новых сервисов (PHP 7 + Symfony + Docker). Поддержка существующего рабочего кода (legasy PHP 5.6). Рефакторинг существущего кода.  Опыт программирования на PHP от 3 лет. Опыт работы с React от 2х лет, опыт работы с jQuery, знания..."
Web-разработчик frontend,https://perm.hh.ru/vacancy/31720676?query=php, Аксон,"Разработка frontend на Vue.JS, временная поддержка проекта на php. Знание PHP, JS, HTML, CSS, опыт работы через Git. Желателен опыт работы с JS-фреймворками: Angular.JS, React.JS, Vue.JS."
Web-разработчик PHP/1C-Bitrix,https://perm.hh.ru/vacancy/33257237?query=php, MIXIT,"Backend-разработка интернет-магазина на платформе 1С-Bitrix. Поддержка существующего сайта и создание новых веб-проектов. Решение оперативных задач.  Обязательно знание PHP. Понимание как работают Битрикс компоненты и умение их создавать. Знание HTML‚ CSS‚ JavaScript, MySQL. Уверенное знание API..."
Senior full stack developer (PHP / Javascript),https://perm.hh.ru/vacancy/33061131?query=php, Pre-Interviews,"прокачал Английский: нужно вести документацию, вести переписку для выяснения деталей багов. - имеешь представление о memory/performance профайлерах. - развивать существующий продукт... Senior full stack developer с отличным знанием ООП, design patterns, PHP, JavaScript (ES6), MySQL. - Software Architect. Мы хотим видеть..."
PHP-разработчик (Middle),https://perm.hh.ru/vacancy/33163434?query=php, RuNetSoft,"Построения больших распределенных Web-приложений. ...платформе PHP от 1,5 лет. Опыт работы с базами данных (MySQL, MSSQL, PosgreeSQL и др.). Знание одного из PHP..."
Web-разработчик,https://perm.hh.ru/vacancy/34264695?query=php, ГК «V Group»,"Разработка информационный порталов и сервисов. Дорабатывать и сопровождать существующие сайты на CMS 1С-Битрикс. Отслеживать ошибки и оперативно их... Умение читать чужой код. Отличное знание PHP. Знание и опыт работы c БД (MySQL), Javascript, jQuery, HTML5, CSS3..."
Фронтенд - разработчик,https://perm.hh.ru/vacancy/34191145?query=php,ООО Виджет,"Разработка фронтенда (web-приложения). Работа с телефонией, веб интерфейсами, базами данных. Обучение нейросети. Знания языков JavaScript, HTML\CSS, Angular.js, Jquery. Только работа в штабе на фул тайм. Рассматриваем начинающих программистов."
Senior PHP Developer,https://perm.hh.ru/vacancy/34149425?query=php, Dostavista Global," Отличное знание PHP, MySQL. Желание проявлять самостоятельность и нести ответственность за качество и результат."
Помощник Веб-дизайнера,https://perm.hh.ru/vacancy/34263698?query=php, Первая Кабельная Компания,"Администрирование и наполнение сайтов компании контентом, предметная фотосъемка продукции для интернет-магазина, а также поддержка страниц компании в соц.  Письменный английский (технические переводы). Будет плюсом: - Опыт работы с шаблонизатором Smarty, PHP. - описание сценариев JavaScript и JQuery. - Базовые знания 1..."
Web-разработчик,https://perm.hh.ru/vacancy/34288934?query=php,ООО Врмедиа,"...на ближайший год: - поддержание текущего продукта и его активное развитие (PHP + NodeJS). - участие в рефакторинге backend. - постепенное вытеснение PHP. Хорошее знание JavaScript (ES5, ES6). - Знание Node.JS. - Знание PHP7. - Знание MySQL, написание запросов, оптимизация запрос, проектирование. - "
Full-stack разработчик,https://perm.hh.ru/vacancy/34119916?query=php,ООО Альянс экспресс,"Разработка. Выполнение поставленных задач. Работа в офисе или удалённо. Знание стека технологий: linux,nginx. PostgreSQL/MySqL. Yii2 (php) / Laravel /Symphony. Angular 6 /react/ vue. Максимально быстро вникнуть в..."
Front end Developer,https://perm.hh.ru/vacancy/34029837?query=php, SoftTeco,"Разработке и тестированию сложных веб-приложений и систем, основанных на платформах Java |.Net | PHP | (финансовые/банковские сервисы, страхование, поисковые системы... Опыт разработки корпоративных программных решений с использованием JavaScript / ES6, HTML, CSS и т. д. Опыт работы с JS frameworks..."
Веб-разработчик/Frontend developer,https://perm.hh.ru/vacancy/34298492?query=php,ООО Опора,"...стек технологий: js - 80% (vanilla + vue), html/css -10%, php – 10%. Помощь в работе HTML верстальщику, при необходимости.  Опыт работы: в аналогичной должности от 2 лет. Front-end на уровне Middle. Знание иностранных языков: английский на уровне чтения..."
Веб-разработчик/Frontend developer,https://perm.hh.ru/vacancy/34298395?query=php,ООО Опора,"...стек технологий: js - 80% (vanilla + vue), html/css -10%, php – 10%. Помощь в работе HTML верстальщику, при необходимости.  Опыт работы: в аналогичной должности от 2 лет. Front-end на уровне Middle. Знание иностранных языков: английский на уровне чтения..."
"Full - stack - developer (Bitrix, PHP, JavaScript, jQuery, CMS)",https://perm.hh.ru/vacancy/33921433?query=php,ООО Первый Гипермаркет Мебели," Имеете опыт от 1 года (PHP, JavaScript, jQuery)? Реализовали интересные проекты Back - end или Full - stack? Для студентов и будущих..."
Full Stack Developer (PHP+JavaScript),https://perm.hh.ru/vacancy/34349938?query=php, Itransition,Участие в проектах с налаженными процессами разработки. Разработка сложных динамических интерфейсов на HTML/CSS/JavaScript. Участие в проектировании и обсуждении... От 1-го до 3-х лет опыта работы с PHP 5-7 (5.3-7.1). PHP-фреймворки (Symfony...
Веб-программист,https://perm.hh.ru/vacancy/33638290?query=php, АСКА недвижимость,"Разработка модулей для CRM-систем. Доработки, улучшения, написание скриптов и модулей, обновления, интеграции и т. д.. Работа над различными проектами. Опыт разработки с применением технологий: HTML5, CSS3, PHP, JavaScript, JQuery, Ajax, MySQL. Умение грамотно планировать свою работу и..."
Веб-программист,https://perm.hh.ru/vacancy/34337957?query=php,ТОО Effective Media Liaison,"Разработка и внедрение нового функционала. Выявление и исправление ошибок. Тех. поддержка сайтов компании. Соблюдение сроков выполнения задач. Опыт работы с Back-end (PHP5+, Mysql). Опыт работы с Front-end (HTML5, CSS3, JavaScript). "
Web-разработчик,https://perm.hh.ru/vacancy/34119086?query=php,ООО СК Калина,"Разрабатывать и настраивать интеграции с внешними системами: AMOCRM, телефония, 1С, работа с API. Разработка новых модулей и модификация стандартных... Знание PHP и принципов ООП. Опыт программирования на PHP от 3 лет. Уверенные знания HTML, CSS, Javascript. Навыки использования системы..."
"Программист PHP, Битрикс (Senior)",https://perm.hh.ru/vacancy/33924784?query=php,ООО КОЛЕСА ДАРОМ.РУ,"Высоконагруженный проект с посещаемостью до 200К пользователей в сутки. Разработка нового сайта spb.kolesa-darom.ru/ на базе CMS 1C-Битрикс... Экспертные знания CMS 1С-Битрикс. Экспертные знания основного стека веб-разработки, используемых при разработке проектов на Битриксе. "
Web-разработчик BitRix,https://perm.hh.ru/vacancy/33279542?query=php,ООО Партнер,"Настройка Bitrix под задачи компании. Сопровождение клиентов (консультации, до настройки). Разработка и поддержка проектов действующих на платформе Bitrix.  ...в направлении разработки на платформе BitRix. Аналитический склад ума, ответственность, стрессоустойчивость. Знание HTML / CSS / JS / PHP / MySQL , будет большим преимуществом."
Веб-разработчик на Битрикс/Bitrix,https://perm.hh.ru/vacancy/34018670?query=php, Sebekon,Разработка новых и поддержка действующих проектов на базе CMS 1С-Битрикс. Разделение разработчиков на back и front.  Наличие сертификатов 1С-Битрикс. Знание PHP-фреймворков (Laravel и другие). Опыт интеграции с разнообразными информационными системами. Опыт работы в...
Веб-разработчик,https://perm.hh.ru/vacancy/34160429?query=php, Emlid,"Поддерживать сайты компании, закрывать недочеты, упрощать и автоматизировать их внутреннее устройство. Дорабатывать темы оформления, верстать новые страницы, добавлять контент в... Умение работать с jQuery и JS. Базовое знание PHP, MySQL. Владение пре\постпроцессорами. Умение работать с Git. Английский от Intermediate..."
PHP-программист,https://perm.hh.ru/vacancy/34316201?query=php,ИП Давыдов Антон Игоревич,"Разработка сайтов на CMS. Поддержка и доработка текущих проектов. Дисциплинированность и ответственность. Требования: Уверенные знания PHP. MySql (на уровне составление select'ов c join'ами, insert'ов и update..."
Backend developer (PHP),https://perm.hh.ru/vacancy/32324072?query=php, Ready for Sky,Работаем в командах. Придерживаемся Agile-практик. Проводим ревью кода. Приветствуем чистый и понятный код. Придерживаемся Gitlab flow. Разработка экосистемы B... Уверенное знание Laravel или Symfony. Понимание принципов SOLID и опыт применения их на практике. Опыт написания тестируемого кода и юнит...
Backend-разработчик,https://perm.hh.ru/vacancy/34082501?query=php,АО Мосинжстрой, Отличное знание одного из следующих языков PHP / Python / Go и популярных фреймворков. Понимание принципов работы с сетью и API. 
Senior PHP back-end developer \ Старший РНР Бэкенд разработчик,https://perm.hh.ru/vacancy/33515136?query=php, Click,Определяют дизайн системы и ее модулей. Внедряют новые фичи. Работают над уменьшением объемов технического долга. Опыт коммерческой разработки от 3-ёх лет. Понимание сценариев использования базовых шаблонов проектирования. Знакомство с принципами SOLID. Опыт работы с...
Веб-программист,https://perm.hh.ru/vacancy/34374147?query=php,ИП Неймышев Богдан Михайлович," Опыт работы с WordPress. Опыт работы с PHP. Опыт работы с МуSQL. HTML, CSS, JavaScript. Опыт работы с высоконагруженными системами. "
Full-stack WEB-программист,https://perm.hh.ru/vacancy/33901696?query=php,ООО ЖЕЛТЫЕ СТРАНИЦЫ,Поддержка и модернизация интернет-проекта YP.RU. Поиск и устранение текущих ошибок в проекте YP.RU. Участие в разработке и тестировании новых... Обязательно: PHP 7.3. MySQL. Фреймворки Yii1 и Yii2. Git. HTML. CSS. JavaScript. JQuery. Желательно: PostgreSQL. ClickHouse. Codeception. 
Fullstack Developer (PHP/React),https://perm.hh.ru/vacancy/32749910?query=php, Space307,"Работа в отделе аналитики, проектирование решений в системах аналитической отчетности. Написание функционала для миграций и агрегаций данных. Разработка и поддержка... Знание PHP + ООП (Laravel, Symfony). Знание JS React (можно и Angular). Хорошее знание SQL (понимание как работают реляционные БД). "
Frontend разработчик,https://perm.hh.ru/vacancy/34237338?query=php,ООО Logic Systems,"Разработка frontend на Vue+Vuex+Vue Router, поддержка существующих проектов. — Взаимодействие с командой бекэнда. — Вёрстка интерфейсов по макетам. — Участие в принятии технических... Опыт работы с D3/GSAP/HighCharts будет плюсом. Требования: — Отличное знание Javascript/VueJS. — Опыт разработки веб-приложений на Vue+Vuex. — "
Full-stack engineer,https://perm.hh.ru/vacancy/34327962?query=php,ООО Радюшин и компания,"Непосредственная разработка PHP, MySQL и JavaScript, создавая удобные в использовании интерфейсы (frontend) и крутой по функционалу backend. Участие в обсуждении... Умеют работать в команде. Опыт работы с PHP фреймворками Laravel или Symfony. Умение работать с composer. Знание стандартов PSR. "
Frontend-разработчик,https://perm.hh.ru/vacancy/34143987?query=php,ООО Артикус,"Разработка frontend-части веб-приложений на базе фреймворка Webasyst: - одностраничных приложений для бекенда. - тем дизайна для витрины интернет-магазинов. Как общих принципов работы веб-серверов, так и конкретных технологий PHP, MySQL. Опыт использования шаблонизатора Smarty. Владение любым инструментом компиляции..."
Php-программист/Web-разработчик,https://perm.hh.ru/vacancy/33994465?query=php,ООО Гигабайт,"Разработка и доработка проектов и сервисов на основе CMS 1C-Битрикс. Разработка компонент и модулей для 1C-Битрикс.  Знание принципов ООП,PHP, MySQL. Знание CSS3, HTML5, JavaScript, AJAX. Адаптивная кроссбраузерная верстка. Умение разбираться в чужом коде. "
Full-Stack Web-Developer / Web-Master,https://perm.hh.ru/vacancy/33671188?query=php, NPBFX Limited,"Разработать и внедрить новое веб-приложение самостоятельно и с привлечением сторонних специалистов. Осуществлять поддержку и развитие всех используемых в проекте... Опыт проектирования и разработки веб-приложений от 3 лет. Уверенное знание веб-технологий (HTML, CSS, JavaScript). Знание LAMP или другого..."
